istart,jstart,igoal,jgoal,euclid
40,38,61,9,35.805027579936315
47,14,13,45,46.010868281309364
10,51,47,8,56.72741841473134
63,51,44,12,43.382023926967726
27,20,47,47,33.60059523282288
22,52,61,51,39.01281840626232
41,57,5,46,37.64306044943742
26,2,54,36,44.04543109109048
10,37,60,9,57.30619512757761
25,2,34,34,33.24154027718932
62,37,47,3,37.16180835212409
25,5,46,41,41.677331968349414
20,62,39,28,38.948684188300895
36,8,21,62,56.04462507680822
11,62,41,5,64.41273166075166
41,61,49,3,58.54912467321779
47,45,9,3,56.639209034025185
28,5,15,41,38.27531841800928
59,3,7,58,75.69015788066504
56,11,50,61,50.35871324805669
31,8,61,50,51.61395160225576
31,61,36,30,31.400636936215164
56,48,0,5,70.60453243241541
15,4,3,41,38.897300677553446
26,52,3,12,46.14108798023731
41,58,3,47,39.56008088970496
1,8,7,41,33.54101966249684
44,12,23,39,34.20526275297414
53,48,24,13,45.45327270945405
34,45,18,4,44.01136216933077
33,1,35,63,62.03224967708329
60,51,15,9,61.554853586049575
11,15,57,1,48.08326112068523
56,15,22,17,34.058772731852805
49,17,4,16,45.0111097397076
22,4,56,51,58.008620049092706
60,1,57,41,40.11234224026316
35,11,36,51,40.01249804748511
42,5,20,53,52.80151512977634
34,21,45,53,33.83784863137726
51,15,11,50,53.150729063673246
6,2,38,58,64.4980619863884
3,51,6,12,39.11521443121589
62,57,37,0,62.24146527838174
46,14,5,10,41.19465984809196
9,13,44,39,43.60045871318328
10,43,56,59,48.703182647543684
58,41,36,17,32.55764119219941
19,13,17,55,42.04759208325728
43,40,5,42,38.05259518088089
50,4,10,7,40.11234224026316
57,1,6,17,53.45091205957107
62,62,23,56,39.45883931389772
44,11,40,60,49.16299421312742
59,58,12,15,63.702433234531945
42,60,4,56,38.2099463490856
40,34,62,4,37.20215047547655
17,62,51,2,68.96375859826666
6,22,37,39,35.35533905932738
63,29,37,2,37.48332962798263
45,2,15,55,60.90155991434045
19,48,61,50,42.04759208325728
3,45,9,14,31.575306807693888
63,26,0,51,67.77905281132217
0,22,39,55,51.088159097779204
57,0,5,35,62.68173577685928
4,18,15,46,30.083217912982647
42,44,60,17,32.449961479175904
27,60,57,40,36.05551275463989
14,58,50,57,36.013886210738214
30,2,44,59,58.69412236331676
1,61,61,44,62.36184731067546
2,48,48,49,46.010868281309364
23,5,10,37,34.539832078341085
58,6,14,5,44.01136216933077
48,8,14,52,55.60575509783138
63,44,60,14,30.14962686336267
60,21,4,44,60.53924347066124
24,48,47,16,39.408120990476064
10,46,54,16,53.25410782277739
49,54,26,18,42.720018726587654
1,21,27,39,31.622776601683793
19,17,27,57,40.792156108742276
12,13,7,44,31.400636936215164
37,16,47,51,36.40054944640259
58,33,11,5,54.70831746635972
49,45,25,17,36.87817782917155
40,54,10,5,57.4543296888929
49,8,27,63,59.23681287847955
5,11,60,53,69.20260110718382
0,33,54,3,61.773780845922005
52,35,3,39,49.16299421312742
27,13,24,58,45.09988913511872
24,45,18,4,41.43669871020132
5,17,34,36,34.66987164671943
44,3,44,62,59.0
61,6,63,56,50.039984012787215
9,35,38,11,37.64306044943742
51,4,3,4,48.0
52,46,16,63,39.81205847478876
