istart,jstart,igoal,jgoal,euclid
9,50,61,26,57.271284253105414
2,58,57,22,65.73431371817918
9,7,63,40,63.28506932918696
58,56,52,22,34.52535300326414
43,18,7,46,45.60701700396552
51,6,57,61,55.326304774492215
24,5,54,23,34.9857113690718
24,58,55,9,57.982756057296896
61,63,42,17,49.76946855251722
2,18,33,18,31.0
59,52,29,60,31.04834939252005
56,49,3,62,54.57105459856901
57,16,4,36,56.64803615307419
16,38,38,12,34.058772731852805
38,45,3,10,49.49747468305833
34,54,14,12,46.51881339845203
0,61,19,25,40.70626487409524
8,52,43,6,57.8013840664737
60,8,57,53,45.09988913511872
37,57,15,13,49.193495504995376
2,22,13,59,38.600518131237564
3,14,43,28,42.37924020083418
4,16,49,41,51.478150704935004
63,35,39,1,41.617304093369626
34,51,0,54,34.132096331752024
21,15,51,56,50.80354318352215
33,3,4,58,62.177166226839255
61,7,5,29,60.166435825965294
56,33,20,5,45.60701700396552
20,48,55,8,53.150729063673246
57,38,23,16,40.496913462633174
5,6,36,10,31.25699921617557
10,26,47,51,44.654227123532216
38,61,61,28,40.22437072223753
51,0,9,38,56.639209034025185
34,4,33,52,48.010415536631214
50,44,55,13,31.400636936215164
1,44,33,27,36.235341863986875
59,5,29,61,63.52952069707436
57,47,35,10,43.04648650006177
59,54,18,17,55.226805085936306
38,58,1,2,67.11929677819934
42,49,41,5,44.01136216933077
48,57,58,22,36.40054944640259
2,6,42,28,45.65084884205331
23,6,62,15,40.024992192379
49,23,16,28,33.37663853655727
7,19,18,54,36.68787265568828
19,29,45,7,34.058772731852805
6,16,43,46,47.634021455258214
60,50,21,56,39.45883931389772
37,41,7,31,31.622776601683793
43,50,2,1,63.89053137985315
9,1,8,34,33.015148038438355
18,44,33,7,39.92492955535426
48,30,6,20,43.174066289845804
62,18,4,8,58.855755878248644
23,14,53,56,51.61395160225576
50,42,3,16,53.71219600798314
0,46,22,25,30.4138126514911
21,37,48,21,31.38470965295043
10,35,46,46,37.64306044943742
51,30,3,60,56.60388679233962
52,37,19,56,38.07886552931954
6,31,44,47,41.23105625617661
6,45,60,3,68.41052550594829
30,37,58,9,39.59797974644666
6,55,37,20,46.75467891024384
55,44,19,28,39.395431207184416
46,39,20,0,46.87216658103186
44,5,35,47,42.95346318982906
16,24,56,3,45.17742799230607
46,63,25,27,41.677331968349414
16,63,61,61,45.044422518220834
53,54,51,23,31.064449134018133
23,61,62,0,72.40165743959182
37,4,6,61,64.88451279003334
53,40,13,18,45.65084884205331
56,30,23,49,38.07886552931954
0,22,61,15,61.40032573203501
63,55,38,38,30.23243291566195
4,7,29,61,59.50630218724736
0,57,44,6,67.35725647619564
53,11,0,38,59.481089431852205
1,52,49,10,63.7808748764079
59,32,25,49,38.01315561749642
54,0,24,38,48.41487374764082
4,41,41,23,41.14608122288197
46,11,43,46,35.12833614050059
48,49,49,2,47.01063709417264
62,23,9,33,53.9351462406472
40,58,37,21,37.12142238654117
52,56,26,24,41.23105625617661
33,2,57,45,49.24428900898052
33,60,63,41,35.510561809129406
21,46,52,54,32.01562118716424
21,3,29,63,60.530983801686226
20,62,23,7,55.08175741568164
3,43,47,40,44.10215414239989
3,47,50,42,47.265209192385896
