istart,jstart,igoal,jgoal,euclid
10,62,48,43,42.485291572496
21,61,63,62,42.01190307520001
54,30,11,51,47.853944456021594
56,47,24,24,39.408120990476064
40,3,47,44,41.593268686170845
1,12,38,1,38.600518131237564
58,18,11,35,49.9799959983992
1,42,4,6,36.124783736376884
1,58,39,43,40.85339643163099
48,23,0,53,56.60388679233962
39,19,3,32,38.27531841800928
39,49,43,19,30.265491900843113
51,26,3,29,48.093658625644196
56,11,44,62,52.392747589718944
10,52,36,21,40.45985664828782
39,0,42,43,43.104524124504614
3,52,47,63,45.35416188179427
8,10,52,22,45.60701700396552
25,39,56,47,32.01562118716424
1,27,47,30,46.09772228646444
59,37,25,9,44.04543109109048
7,39,38,55,34.88552708502482
40,22,7,3,38.07886552931954
40,9,11,42,43.93176527297759
43,54,24,23,36.359317925395686
8,5,11,49,44.10215414239989
41,4,15,25,33.421549934136806
12,62,7,3,59.21148537234985
20,61,54,52,35.17101079013795
43,22,0,29,43.56604182158393
55,37,2,24,54.57105459856901
12,16,45,5,34.785054261852174
63,9,2,28,63.89053137985315
45,61,51,1,60.29925372672534
12,8,49,51,56.72741841473134
46,56,0,57,46.010868281309364
4,15,42,50,51.66236541235796
4,4,27,53,54.12947441089743
61,9,45,52,45.880278987817846
9,58,3,28,30.59411708155671
8,29,58,21,50.635955604688654
1,5,50,31,55.47071299343465
23,4,10,53,50.695167422546305
38,6,24,41,37.69615364994153
2,59,58,17,70.0
30,50,10,13,42.05948168962618
5,15,46,46,51.40038910358559
25,61,27,17,44.04543109109048
0,51,50,38,51.66236541235796
45,16,27,48,36.71511950137164
5,43,24,15,33.83784863137726
0,44,19,5,43.382023926967726
51,56,18,20,48.83646178829912
24,63,54,51,32.31098884280702
47,55,8,6,62.625873247404705
29,53,12,27,31.064449134018133
1,39,37,57,40.24922359499622
5,55,38,26,43.93176527297759
53,3,1,40,63.8200595424354
26,24,46,52,34.40930106817051
6,14,63,60,73.24616030891995
6,36,4,6,30.066592756745816
27,60,41,8,53.85164807134504
2,58,23,30,35.0
55,23,28,39,31.38470965295043
47,13,13,19,34.52535300326414
5,2,13,62,60.530983801686226
29,44,53,24,31.240998703626616
40,28,8,41,34.539832078341085
4,55,5,16,39.01281840626232
5,10,58,30,56.64803615307419
27,27,58,30,31.144823004794873
13,62,25,3,60.207972893961475
43,35,7,40,36.345563690772494
13,19,3,52,34.48187929913333
4,50,39,25,43.01162633521314
23,0,58,42,54.67174773134658
7,12,58,4,51.62363799656123
59,51,54,13,38.3275357934736
51,45,4,51,47.38143096192854
50,57,56,3,54.3323108288245
19,18,43,48,38.41874542459709
59,14,24,36,41.340053217188775
49,21,45,56,35.22782990761707
56,49,4,14,62.68173577685928
50,19,61,48,31.016124838541646
6,6,56,39,59.90826320300064
3,19,55,32,53.600373133029585
10,63,41,7,64.00781202322104
7,33,44,27,37.48332962798263
13,36,38,0,43.829214001622255
3,17,54,1,53.45091205957107
55,0,14,1,41.012193308819754
13,46,48,53,35.6931365951495
19,51,47,24,38.897300677553446
36,8,22,35,30.4138126514911
22,22,6,60,41.23105625617661
24,49,9,20,32.64965543462902
13,38,43,9,41.72529209005013
44,2,61,39,40.718546143004666
