istart,jstart,igoal,jgoal,euclid
55,50,60,9,41.30375285612676
44,3,2,61,71.61005515987263
17,54,19,17,37.05401462729781
12,8,50,1,38.63935817272331
3,49,56,59,53.9351462406472
20,0,54,7,34.713109915419565
15,8,55,8,40.0
4,2,38,26,41.617304093369626
3,44,32,59,32.64965543462902
4,19,48,61,60.8276253029822
33,10,37,47,37.21558813185679
62,47,23,56,40.024992192379
10,31,52,56,48.877397639399746
43,58,37,19,39.45883931389772
11,26,63,54,59.0592922409336
21,20,57,45,43.829214001622255
42,7,41,62,55.00909015790027
46,59,15,5,62.26556030423239
44,56,29,4,54.120236510939236
40,45,58,8,41.14608122288197
24,30,31,61,31.78049716414141
46,8,26,53,49.24428900898052
10,20,49,43,45.27692569068709
49,10,1,2,48.662100242385755
3,55,17,1,55.78530272392541
14,50,46,35,35.34119409414458
17,35,4,63,30.870698080866262
20,35,57,3,48.91829923454004
60,58,22,56,38.05259518088089
51,46,18,58,35.11409973215888
59,9,40,49,44.28317965096906
56,33,23,3,44.598206241955516
50,13,33,53,43.46262762420146
32,55,56,32,33.24154027718932
53,61,14,8,65.80273550544841
4,8,38,1,34.713109915419565
59,50,26,53,33.13608305156178
26,46,8,18,33.28663395418648
12,61,44,4,65.36818798161687
36,31,3,20,34.785054261852174
0,48,48,28,52.0
50,44,17,4,51.85556864985669
40,63,19,32,37.44329045369811
23,32,51,17,31.76476034853718
1,54,58,49,57.21887800367987
19,14,40,59,49.658836071740545
43,60,3,19,57.28001396647874
1,54,55,0,76.36753236814714
52,9,2,27,53.14132102234569
16,63,53,30,49.57822102496216
13,8,3,43,36.40054944640259
48,0,56,45,45.70557952810576
41,13,8,0,35.4682957019364
9,20,61,29,52.773099207835045
47,50,18,28,36.40054944640259
37,5,2,39,48.79549159502341
1,6,59,10,58.137767414994535
22,25,55,46,39.11521443121589
19,45,53,63,38.47076812334269
25,21,10,56,38.07886552931954
39,1,54,60,60.876925020897694
40,51,20,18,38.58756276314948
13,49,49,45,36.22154055254967
49,52,54,4,48.25971404805462
40,57,49,2,55.731499172371095
60,61,19,63,41.048751503547585
42,14,2,35,45.17742799230607
2,30,31,47,33.61547262794322
63,56,32,54,31.064449134018133
63,48,13,53,50.24937810560445
22,5,58,50,57.62811813689564
6,32,41,63,46.75467891024384
23,26,30,62,36.6742416417845
57,17,41,45,32.2490309931942
12,10,54,31,46.95742752749558
61,4,41,63,62.297672508690084
10,12,46,31,40.70626487409524
47,61,54,11,50.48762224545735
38,4,37,56,52.009614495783374
50,7,41,50,43.93176527297759
43,26,6,57,48.27007354458868
35,13,42,47,34.713109915419565
50,63,63,14,50.695167422546305
32,53,54,4,53.71219600798314
63,27,12,18,51.78802950489621
46,16,0,14,46.04345773288535
49,37,37,0,38.897300677553446
57,28,46,61,34.785054261852174
22,48,8,11,39.56008088970496
46,19,4,9,43.174066289845804
56,45,48,3,42.7551166528639
42,51,33,12,40.024992192379
12,29,61,47,52.20153254455275
44,16,25,57,45.18849411078001
26,46,2,0,51.884487084291386
41,36,5,10,44.40720662234904
5,20,48,0,47.4236228055175
58,55,38,1,57.584720195551874
8,33,28,9,31.240998703626616
7,26,58,44,54.08326913195984
