istart,jstart,igoal,jgoal,euclid
50,2,20,34,43.86342439892262
20,24,12,63,39.81205847478876
60,0,35,57,62.24146527838174
47,32,47,63,31.0
55,9,38,38,33.61547262794322
20,9,55,14,35.35533905932738
13,28,35,62,40.496913462633174
30,62,61,1,68.42514157822401
54,55,50,17,38.2099463490856
20,8,49,17,30.364452901377952
28,61,60,53,32.984845004941285
58,40,16,35,42.2965719651132
50,22,9,25,41.10960958218893
24,27,61,35,37.8549864614954
10,7,35,30,33.97057550292606
4,13,34,5,31.04834939252005
28,28,61,12,36.6742416417845
39,15,43,55,40.19950248448356
28,41,62,56,37.16180835212409
2,2,2,55,53.0
61,34,22,21,41.10960958218893
26,40,61,10,46.09772228646444
3,3,47,58,70.43436661176133
56,36,9,11,53.23532661682466
8,15,30,63,52.80151512977634
45,1,22,55,58.69412236331676
1,0,55,42,68.41052550594829
56,38,36,61,30.479501308256342
1,55,60,8,75.43208866258443
33,53,59,23,39.698866482558415
28,21,28,55,34.0
63,32,40,54,31.827660925679098
56,51,20,33,40.24922359499622
21,50,37,1,51.54609587543949
6,35,26,8,33.60059523282288
30,60,63,41,38.07886552931954
22,9,56,43,48.08326112068523
44,52,2,26,49.39635614091387
36,6,8,21,31.76476034853718
48,19,1,15,47.16990566028302
21,9,52,62,61.40032573203501
30,43,14,4,42.15447781671598
7,29,21,62,35.84689665786984
19,10,50,22,33.24154027718932
44,26,2,1,48.877397639399746
60,0,27,17,37.12142238654117
2,43,59,37,57.3149195236284
4,27,62,6,61.68468205316454
17,6,58,24,44.77722635447622
27,63,24,23,40.11234224026316
1,8,43,40,52.80151512977634
63,41,2,61,64.19501538281614
46,60,3,16,61.5223536610881
38,30,26,1,31.38470965295043
45,49,59,15,36.76955262170047
20,61,8,21,41.7612260356422
62,29,9,6,57.77542730261716
13,1,10,35,34.132096331752024
3,32,52,61,56.938563381947034
58,62,4,60,54.037024344425184
24,9,43,47,42.485291572496
61,8,45,43,38.48376280978771
2,40,42,2,55.17245689653489
4,24,44,33,41.0
7,32,48,20,42.720018726587654
56,6,62,46,40.44749683231337
6,13,28,56,48.30113870293329
8,16,34,49,42.01190307520001
56,33,14,34,42.01190307520001
60,12,45,53,43.657759905886145
19,60,56,39,42.5440947723653
4,35,56,40,52.23983154643591
45,5,12,3,33.06055050963308
35,32,26,3,30.364452901377952
32,3,22,61,58.855755878248644
48,49,12,58,37.107950630558946
17,63,41,21,48.373546489791295
39,16,61,45,36.40054944640259
3,50,48,42,45.70557952810576
22,0,38,48,50.59644256269407
55,47,34,9,43.41658669218482
59,26,12,35,47.853944456021594
47,0,42,33,33.37663853655727
33,59,2,15,53.823786563191554
6,14,47,9,41.30375285612676
15,4,48,58,63.28506932918696
34,53,21,16,39.21734310225516
63,6,62,51,45.0111097397076
47,47,10,23,44.10215414239989
52,17,4,15,48.041648597857254
19,18,5,55,39.56008088970496
55,57,45,20,38.3275357934736
37,34,8,1,43.93176527297759
21,24,53,14,33.52610922848042
0,32,33,40,33.95585369269929
44,19,2,41,47.41307836451879
35,60,56,20,45.17742799230607
4,9,45,59,64.66065264130884
44,54,8,24,46.861498055439924
21,14,58,5,38.07886552931954
