istart,jstart,igoal,jgoal,euclid
9,30,45,35,36.345563690772494
47,2,22,31,38.28837943815329
61,34,44,9,30.23243291566195
12,1,7,38,37.33630940518894
36,23,6,51,41.036569057366385
23,25,63,8,43.46262762420146
2,33,37,56,41.88078318274385
3,11,36,45,47.38143096192854
46,16,24,43,34.828149534535996
39,4,21,42,42.04759208325728
39,52,12,0,58.59180830116101
35,30,5,5,39.05124837953327
26,34,63,32,37.05401462729781
11,62,59,8,72.24956747275377
6,56,42,6,61.61168720299745
55,57,3,33,57.271284253105414
30,0,60,5,30.4138126514911
9,11,0,50,40.024992192379
11,35,48,10,44.654227123532216
19,50,43,4,51.884487084291386
44,59,60,10,51.54609587543949
27,56,46,28,33.83784863137726
48,6,18,30,38.41874542459709
5,3,63,62,82.73451516749222
21,47,58,48,37.013511046643494
11,44,49,4,55.17245689653489
10,17,61,5,52.392747589718944
4,8,59,40,63.631753079732135
53,41,21,61,37.73592452822641
56,3,2,4,54.00925846556311
45,51,17,25,38.2099463490856
40,20,61,49,35.805027579936315
1,55,11,9,47.07440918375928
6,52,63,57,57.21887800367987
1,32,43,0,52.80151512977634
44,54,27,5,51.86520991955976
39,48,40,14,34.0147027033899
50,26,20,34,31.04834939252005
52,38,20,55,36.235341863986875
7,60,55,25,59.405386961116584
45,2,47,46,44.04543109109048
29,43,45,7,39.395431207184416
18,8,3,42,37.16180835212409
54,52,50,0,52.15361924162119
59,36,9,4,59.36328831862332
59,2,7,17,54.120236510939236
38,59,6,52,32.7566787083184
59,61,34,42,31.400636936215164
35,47,12,22,33.97057550292606
9,10,20,45,36.68787265568828
11,30,48,21,38.07886552931954
44,51,36,8,43.73785545725808
5,57,21,26,34.88552708502482
3,30,49,40,47.07440918375928
47,15,7,60,60.207972893961475
61,40,2,6,68.09552114493287
34,46,14,22,31.240998703626616
55,3,12,24,47.853944456021594
36,22,11,40,30.805843601498726
10,42,50,63,45.17742799230607
42,52,5,45,37.656340767525464
11,18,62,10,51.62363799656123
11,49,5,17,32.55764119219941
63,8,27,46,52.3450093132096
10,2,58,38,60.0
18,38,21,3,35.12833614050059
40,50,7,51,33.015148038438355
22,24,50,61,46.400431032480725
41,50,47,14,36.49657518178932
20,7,44,56,54.56189146281496
22,7,58,31,43.266615305567875
9,49,27,18,35.84689665786984
24,57,63,45,40.80441152620633
63,0,41,35,41.340053217188775
4,5,39,7,35.05709628591621
45,17,4,58,57.982756057296896
36,4,59,40,42.720018726587654
23,28,21,60,32.0624390837628
40,22,2,26,38.2099463490856
50,26,5,39,46.84015371452148
27,28,5,55,34.828149534535996
4,42,61,44,57.0350769263968
41,4,27,53,50.96076922496363
3,24,61,56,66.24198064671678
36,29,9,7,34.828149534535996
28,43,11,12,35.35533905932738
44,59,7,29,47.634021455258214
18,27,57,53,46.87216658103186
48,51,2,53,46.04345773288535
52,44,19,47,33.13608305156178
17,41,42,19,33.301651610693426
59,62,21,13,62.00806399170998
19,51,49,58,30.805843601498726
62,34,12,25,50.80354318352215
1,55,31,49,30.59411708155671
40,7,35,46,39.319206502675
21,17,55,60,54.817880294662984
44,2,3,32,50.80354318352215
63,32,50,60,30.870698080866262
26,4,60,45,53.2634959423431
