istart,jstart,igoal,jgoal,euclid
40,42,5,0,54.67174773134658
31,50,53,8,47.41307836451879
23,7,27,59,52.15361924162119
42,11,11,19,32.01562118716424
43,38,43,1,37.0
42,1,28,51,51.92301994298868
49,44,46,5,39.11521443121589
28,7,49,46,44.294469180700204
18,51,0,23,33.28663395418648
61,18,15,36,49.39635614091387
19,58,15,16,42.190046219457976
49,9,9,55,60.959002616512684
63,46,19,35,45.35416188179427
10,14,57,56,63.0317380372777
45,22,9,6,39.395431207184416
62,15,62,58,43.0
12,19,21,60,41.97618372363071
50,19,5,4,47.43416490252569
32,8,41,40,33.24154027718932
5,59,53,51,48.662100242385755
43,2,50,48,46.52956049652737
23,7,42,46,43.382023926967726
2,60,3,2,58.008620049092706
43,38,1,23,44.598206241955516
9,56,58,59,49.09175083453431
36,2,44,38,36.87817782917155
18,49,10,2,47.67598976424087
49,47,17,57,33.52610922848042
3,38,46,35,43.104524124504614
21,39,42,14,32.64965543462902
50,19,5,5,47.12748667179272
8,17,47,50,51.088159097779204
14,34,61,57,52.32590180780452
57,13,30,46,42.638011210655684
15,0,49,18,38.47076812334269
47,44,59,4,41.7612260356422
51,7,51,38,31.0
61,15,46,59,46.486557196677836
8,16,52,55,58.7962583843564
57,53,4,60,53.46026561849464
32,21,2,58,47.634021455258214
55,41,10,0,60.876925020897694
8,62,37,12,57.8013840664737
54,34,24,55,36.61966684720111
1,42,50,54,50.44799302251776
62,40,11,7,60.74537019394976
5,45,39,43,34.058772731852805
21,20,8,50,32.69556544854363
5,51,13,10,41.773197148410844
14,55,57,1,69.02897942168927
33,30,60,56,37.48332962798263
42,46,12,19,40.36087214122113
18,55,19,16,39.01281840626232
47,59,20,0,64.88451279003334
63,1,47,43,44.94441010848846
57,54,6,6,70.03570517957252
50,10,15,42,47.4236228055175
28,60,8,1,62.297672508690084
17,46,62,22,51.0
52,36,15,44,37.8549864614954
58,56,39,10,49.76946855251722
20,43,20,6,37.0
54,55,33,22,39.11521443121589
20,7,55,14,35.6931365951495
50,10,46,43,33.24154027718932
31,20,13,53,37.589892258425
57,10,42,42,35.34119409414458
53,3,9,35,54.405882034941776
33,12,8,54,48.877397639399746
3,22,59,39,58.52349955359813
63,11,7,0,57.0701322935211
56,23,36,49,32.802438933713454
60,7,14,19,47.53945729601885
20,2,49,50,56.08029957123981
0,17,41,61,60.14149981501958
55,17,16,53,53.075418038862395
50,13,45,44,31.400636936215164
26,17,45,58,45.18849411078001
4,20,31,59,47.43416490252569
9,23,63,51,60.8276253029822
23,37,17,5,32.55764119219941
5,36,6,2,34.0147027033899
7,21,26,57,40.70626487409524
28,8,7,36,35.0
60,36,22,49,40.162171256046406
58,51,11,19,56.859475903318
5,57,63,15,71.61005515987263
28,57,61,44,35.4682957019364
1,3,36,19,38.48376280978771
16,6,41,56,55.90169943749474
61,51,31,21,42.42640687119285
2,39,38,43,36.22154055254967
56,23,47,63,41.0
56,63,40,15,50.59644256269407
29,53,63,11,54.037024344425184
20,17,42,50,39.66106403010388
50,7,14,49,55.31726674375732
45,59,39,22,37.48332962798263
39,45,13,2,50.24937810560445
53,50,59,6,44.40720662234904
