istart,jstart,igoal,jgoal,euclid
58,20,13,27,45.5411901469428
6,34,55,4,57.4543296888929
3,53,49,22,55.47071299343465
33,63,0,14,59.07622195096772
23,2,1,49,51.894122981316485
60,11,2,47,68.26419266350405
34,38,0,44,34.52535300326414
21,58,61,60,40.049968789001575
55,12,24,18,31.575306807693888
27,16,15,59,44.64302857109943
29,27,0,18,30.364452901377952
24,57,10,18,41.43669871020132
23,58,44,2,59.80802621722272
36,56,17,4,55.362442142665635
63,57,28,3,64.35060217278468
29,36,54,16,32.01562118716424
34,1,23,53,53.150729063673246
15,1,63,50,68.59300255857006
29,9,45,52,45.880278987817846
43,20,29,55,37.69615364994153
2,3,23,26,31.144823004794873
46,48,17,9,48.60041152089147
40,51,39,4,47.01063709417264
38,33,0,37,38.2099463490856
0,51,37,46,37.33630940518894
55,4,1,29,59.50630218724736
4,41,18,14,30.4138126514911
46,6,16,34,41.036569057366385
19,24,57,46,43.9089968002003
46,23,39,54,31.78049716414141
29,14,62,43,43.93176527297759
23,63,9,8,56.753854494650845
45,12,6,39,47.43416490252569
40,59,51,26,34.785054261852174
52,58,12,8,64.03124237432849
25,14,42,60,49.040799340956916
6,50,49,35,45.5411901469428
24,46,5,2,47.92702786528704
5,6,37,35,43.18564576337837
43,43,19,15,36.87817782917155
62,36,14,26,49.03060268852505
63,21,43,44,30.479501308256342
8,60,39,38,38.01315561749642
13,55,45,32,39.408120990476064
46,63,4,26,55.97320787662612
22,57,63,40,44.384682042344295
27,23,48,63,45.17742799230607
42,1,59,27,31.064449134018133
28,45,61,61,36.6742416417845
4,2,48,14,45.60701700396552
8,57,18,20,38.3275357934736
35,60,6,7,60.41522986797286
11,15,46,47,47.4236228055175
57,16,11,13,46.09772228646444
31,41,60,52,31.016124838541646
7,11,23,59,50.59644256269407
26,46,48,22,32.55764119219941
44,21,27,49,32.7566787083184
16,54,24,3,51.62363799656123
32,8,57,59,56.79788728465171
50,2,3,62,76.21679604916491
47,59,42,5,54.230987451824994
33,61,50,33,32.7566787083184
56,4,37,29,31.400636936215164
17,9,38,52,47.853944456021594
31,20,3,44,36.87817782917155
14,6,54,62,68.81860213634101
2,59,62,3,82.07313811473277
60,46,20,57,41.48493702538308
53,4,21,55,60.207972893961475
54,7,2,41,62.12889826803627
18,56,50,19,48.91829923454004
61,55,1,49,60.29925372672534
4,59,23,30,34.66987164671943
13,0,60,44,64.38167441127949
12,59,57,33,51.97114584074513
15,11,44,49,47.80167361086848
63,57,28,25,47.4236228055175
24,49,18,5,44.40720662234904
46,33,2,11,49.193495504995376
38,38,4,20,38.47076812334269
55,61,2,8,74.95331880577403
3,53,49,10,62.96824596572466
54,57,1,37,56.64803615307419
7,17,51,33,46.8187996428785
58,11,29,19,30.083217912982647
38,23,0,33,39.293765408777
17,5,55,14,39.05124837953327
61,16,2,61,74.2024258363566
10,28,27,63,38.91015291668744
4,49,44,19,50.0
19,7,7,36,31.38470965295043
51,37,20,53,34.88552708502482
2,24,40,7,41.6293165929973
1,12,45,16,44.181444068749045
7,9,58,62,73.55270219373317
61,7,0,61,81.46778504415104
3,5,3,56,51.0
7,56,44,30,45.221676218380054
48,56,25,5,55.94640292279746
