istart,jstart,igoal,jgoal,euclid
0,30,36,10,41.182520563948
45,9,40,48,39.319206502675
34,18,7,61,50.774009099144415
14,43,43,33,30.675723300355934
23,3,60,30,45.803929962395145
50,14,59,43,30.364452901377952
61,24,39,46,31.11269837220809
2,10,61,20,59.841457201508724
0,49,32,1,57.688820407423826
6,2,59,53,73.55270219373317
17,56,59,18,56.639209034025185
31,51,12,22,34.66987164671943
43,25,61,51,31.622776601683793
61,18,10,16,51.03920062069938
49,8,45,56,48.16637831516918
58,47,27,2,54.644304369257
44,54,9,21,48.104053883222775
18,43,49,53,32.57299494980466
11,54,50,15,55.154328932550705
53,23,60,57,34.713109915419565
41,5,50,43,39.05124837953327
58,0,57,38,38.01315561749642
37,12,3,0,36.05551275463989
56,42,15,58,44.01136216933077
54,48,16,57,39.05124837953327
58,63,3,26,66.2872536767062
62,40,4,21,61.032778078668514
51,24,14,40,40.311288741492746
40,26,37,61,35.12833614050059
49,0,11,47,60.440052945046304
49,1,31,63,64.5600495662759
50,61,13,45,40.311288741492746
48,54,28,3,54.78138369920935
50,53,18,26,41.86884283091664
49,59,30,2,60.08327554319921
50,11,21,48,47.01063709417264
46,44,15,48,31.25699921617557
24,58,37,27,33.61547262794322
0,42,43,44,43.04648650006177
26,57,52,24,42.01190307520001
19,8,40,47,44.294469180700204
47,38,3,6,54.405882034941776
51,53,21,6,55.758407437802596
61,35,26,27,35.90264614203248
53,5,9,6,44.01136216933077
59,49,9,26,55.036351623268054
41,43,33,3,40.792156108742276
50,11,55,42,31.400636936215164
0,20,60,38,62.6418390534633
57,35,10,8,54.20332093147061
36,61,7,21,49.4064773081425
57,51,24,41,34.48187929913333
2,6,44,53,63.0317380372777
24,50,24,6,44.0
46,45,15,8,48.27007354458868
48,45,23,0,51.478150704935004
49,34,18,45,32.89376840679705
29,31,53,52,31.89043743820395
57,20,22,54,48.79549159502341
54,50,47,3,47.51841748206689
5,42,54,2,63.25345840347388
2,0,63,33,69.35416353759881
29,63,49,36,33.60059523282288
60,18,25,46,44.82186966202994
27,3,56,62,65.7419196555744
57,11,27,62,59.16924876994806
63,19,28,35,38.48376280978771
34,60,63,8,59.53990258641679
54,36,8,29,46.52956049652737
55,40,10,52,46.57252408878007
8,15,58,60,67.26812023536856
13,63,0,34,31.78049716414141
1,31,55,54,58.69412236331676
58,8,22,4,36.22154055254967
21,27,55,52,42.20189569201838
56,61,16,43,43.86342439892262
25,50,9,7,45.880278987817846
4,62,44,45,43.46262762420146
62,9,9,11,53.03772242470448
11,2,22,38,37.64306044943742
36,49,30,17,32.55764119219941
27,63,9,31,36.71511950137164
53,3,20,28,41.400483088968905
24,48,45,7,46.06517122512408
29,19,27,55,36.05551275463989
9,47,55,35,47.53945729601885
23,60,59,10,61.61168720299745
11,0,25,54,55.78530272392541
33,6,48,51,47.43416490252569
58,26,31,59,42.638011210655684
52,17,25,51,43.41658669218482
54,10,21,33,40.22437072223753
56,17,2,37,57.584720195551874
63,63,28,33,46.09772228646444
45,37,9,36,36.013886210738214
41,52,59,23,34.132096331752024
58,20,11,2,50.32891812864648
31,45,1,39,30.59411708155671
50,39,16,28,35.73513677041127
27,24,33,58,34.52535300326414
